Wrong,Correct
Ahmadabad,Ahmedabad
Ahmadnagar,Ahmednagar
Aizwal,Aizawl
Allahabad,Prayagraj
Almora\n,Almora
Anugul,Angul
Ashok Nagar,Ashoknagar
Badgam,Budgam
Bagalkot,Bagalkote
Baleshwar,Balasore
Banas Kantha,Banaskantha
Bandipore,Bandipora
Bangalore Rural,Bengaluru Rural
Bangalore Urban,Bengaluru Urban
Bara Banki,Barabanki
Baramula,Baramulla
Barddhaman,Purba Bardhaman
Belgaum,Belagavi
Bellary,Ballari
Bemetara,Bametara
Bid,Beed
Bishwanath,Biswanath
Buldana,Buldhana
Chamarajanagar,Chamarajanagara
Chikmagalur,Chikkamagaluru
Chittaurgarh,Chittorgarh
Dadra & Nagar Haveli,Dadra and Nagar Haveli
Dadra And Nagar Haveli,Dadra and Nagar Haveli
Dantewada,Dakshin Bastar Dantewada
Darjiling,Darjeeling
Debagarh,Deogarh
Devbhumi Dwaraka,Devbhumi Dwarka
Dhaulpur,Dholpur
Dibang Valley,Upper Dibang Valley
Dohad,Dahod
East Karbi Anglong,Karbi Anglong
Fategarh Sahib,Fatehgarh Sahib
Firozpur,Ferozepur
Garhwal,Tehri Garhwal
Gondiya,Gondia
Gulbarga,Kalaburagi
Gurgaon,Gurugram
Haora,Howrah
Hardwar,Haridwar
Hugli,Hooghly
Jagatsinghapur,Jagatsinghpur
Jaintia Hills,West Jaintia Hills
Jajapur,Jajpur
Jalor,Jalore
Janjgir - Champa,Janjgir Champa
Jhunjhunun,Jhunjhunu
Jyotiba Phule Nagar,Amroha
Kabirdham,Kabeerdham
Kachchh,Kutch
Kaimur (Bhabua),Kaimur
Kanchipuram,Kancheepuram
Kanniyakumari,Kanyakumari
Kanshiram Nagar,Kasganj
Khandwa (East Nimar),Khandwa
Khargone (West Nimar),Khargone
Kheri,Lakhimpur Kheri
Koch Bihar,Cooch Behar
Kochbihar,Cooch Behar
Kodarma,Koderma
Komram Bheem,Komaram Bheem
Lahul & Spiti,Lahaul and Spiti
Lahul And Spiti,Lahaul and Spiti
Leh(Ladakh),Leh
Mahamaya Nagar,Hathras
Mahbubnagar,Mahabubnagar
Mahesana,Mehsana
Mahrajganj,Maharajganj
Maldah,Malda
Marigaon,Morigaon
Mewat,Nuh
Muktsar,Sri Muktsar Sahib
Mumbai City,Mumbai
Mysore,Mysuru
Nandubar,Nandurbar
Narsimhapur,Narsinghpur
Nav Sari,Navsari
North & Middle Andaman,North and Middle Andaman
North Twenty Four Parganas,North 24 Parganas
Pakaur,Pakur
Palghat,Palakkad
Panch Mahal,Panchmahal
Panch Mahals,Panchmahal
Pashchim Champaran,West Champaran
Pashchimi Singhbhum,West Singhbhum
Pattanamtitta,Pathanamthitta
Purba Champaran,East Champaran
Purbi Singhbhum,East Singhbhum
Puruliya,Purulia
Rae Bareilly,Rae Bareli
Rajauri,Rajouri
Rangareddy,Ranga Reddy
Ri Bhoi,Ribhoi
Sabar Kantha,Sabarkantha
Sahibzada Ajit Singh Nagar,S.A.S. Nagar
Sait Kibir Nagar,Sant Kabir Nagar
Sant Ravidas Nagar (Bhadohi),Bhadohi
Sepahijala,Sipahijala
Seraikela Kharsawan,Saraikela-Kharsawan
Shaheed Bhagat Singh Nagar,Shahid Bhagat Singh Nagar
Shimoga,Shivamogga
Shopian,Shopiyan
Shupiyan,Shopiyan
Siddharth Nagar,Siddharthnagar
Sivagangai,Sivaganga
Sonapur,Kamrup
South Twenty Four Parganas,South 24 Parganas
Sri Ganganagar,Ganganagar
Sri Potti Sriramulu Nellore,S.P.S. Nellore
The Dangs,Dang
The Nilgiris,Nilgiris
Thoothukudi,Thoothukkudi
Tiruchchirappalli,Tiruchirappalli
Tirunelveli Kattabo,Tirunelveli
Tiruvanamalai,Tiruvannamalai
Tumkur,Tumakuru
Warangal,Warangal Urban
Wrong,Correct
Y.S.R.,Y.S.R. Kadapa
Yadagiri,Yadgir
Ysr,Y.S.R. Kadapa
