DistrictId,Wave1-WeekId,Wave2-WeekId,Wave1-MonthId,Wave2-MonthId
AN_Unknown,31,111,4,13
AP_Anantapur,27,109,4,13
AP_Chittoor,33,111,4,13
AP_East Godavari,36,112,4,13
AP_Guntur,38,109,4,13
AP_Krishna,30,113,4,13
AP_Kurnool,30,107,4,13
AP_Prakasam,39,111,5,13
AP_S.P.S. Nellore,36,110,4,13
AP_Srikakulam,37,107,5,13
AP_Visakhapatnam,28,111,4,13
AP_West Godavari,40,111,5,13
AP_Y.S.R. Kadapa,37,109,4,13
AR_Lohit,50,129,6,15
AS_Unknown,44,113,6,13
BR_Araria,31,107,4,13
BR_Arwal,31,107,4,13
BR_Aurangabad,32,105,4,13
BR_Banka,29,105,4,13
BR_Begusarai,31,105,4,13
BR_Bhagalpur,30,105,4,13
BR_Bhojpur,30,103,4,13
BR_Buxar,30,104,4,13
BR_Darbhanga,31,107,4,13
BR_East Champaran,31,109,4,13
BR_Gaya,31,105,4,13
BR_Gopalganj,30,106,4,13
BR_Jehanabad,31,104,4,12
BR_Kaimur,31,104,4,13
BR_Katihar,31,108,4,13
BR_Lakhisarai,32,104,4,13
BR_Madhepura,31,107,4,13
BR_Madhubani,33,107,4,13
BR_Munger,31,108,4,13
BR_Nalanda,29,106,4,13
BR_Nawada,48,105,6,13
BR_Patna,29,107,4,13
BR_Purnia,31,105,4,13
BR_Rohtas,29,105,4,13
BR_Saran,30,104,4,13
BR_Sheikhpura,31,106,4,13
BR_Sitamarhi,31,106,4,13
BR_Siwan,30,105,4,13
BR_Vaishali,30,106,4,13
BR_West Champaran,31,106,4,13
CH_Chandigarh,40,108,5,13
CT_Bilaspur,40,102,5,13
CT_Durg,41,100,5,12
CT_Korba,55,106,6,13
CT_Raipur,39,100,5,12
CT_Rajnandgaon,41,101,5,12
CT_Surajpur,41,110,5,13
DL_Delhi,57,104,7,13
GA_Unknown,41,108,5,13
GJ_Ahmedabad,6,106,5,13
GJ_Anand,61,110,8,13
GJ_Aravalli,46,110,6,13
GJ_Banaskantha,61,109,7,13
GJ_Bharuch,33,105,6,13
