StateId,Wave1-WeekId,Wave2-WeekId,Wave1-MonthId,Wave2-MonthId
AN,31,111,4,13
AP,36,111,5,13
AR,48,129,6,15
AS,44,113,6,13
BR,31,106,4,13
CH,40,108,5,13
CT,41,107,5,12
DL,57,104,7,13
GA,41,108,5,13
GJ,45,106,5,13
HP,61,109,8,13
HR,41,107,5,13
JH,38,107,5,13
JK,41,108,5,13
KA,47,109,6,13
KL,51,109,6,13
LA,46,102,6,13
MH,41,102,5,12
ML,47,112,6,14
MN,52,130,7,14
MP,42,108,5,13
MZ,42,132,7,N/A
OR,42,112,5,13
PB,41,108,5,13
PY,43,110,5,13
RJ,61,108,6,13
TG,37,105,5,13
TN,26,112,4,13
TR,40,112,5,14
UP,39,105,5,13
UT,41,109,5,13
WB,52,109,6,13
DN,31,104,4,13
NL,31,113,4,13
SK,43,115,5,14
LD,46,112,N/A,13
