stateid,vaccinateddose1ratio,vaccinateddose2ratio
TG,0.1869001566120204,0.06271300163908723
WB,0.19420572402758376,0.07643666691992752
TN,0.23657980099804524,0.054771707165215254
UP,0.23748037019810622,0.045134102666607015
BR,0.24176282887637102,0.04667908338268678
ML,0.25967031459552414,0.07123657137156125
JH,0.2666995653649279,0.06471814986564563
PB,0.2859796467173489,0.08587733747107143
CT,0.2967181891840097,0.09107451974819958
GJ,0.29869162801160537,0.09304231729043226
NL,0.3231631810329229,0.08488240092757046
AS,0.328715739776763,0.07182799638115957
MN,0.34180686702192103,0.07911845182110475
MH,0.35303053168813575,0.12448190653597437
OR,0.3581747271378249,0.10706105999038452
AP,0.37492085688728277,0.1313146859345956
KA,0.37880987897395785,0.11361941836946966
AR,0.38155575485626864,0.10968926674119968
RJ,0.39872488996357425,0.1248935406069142
HR,0.40172326156179866,0.12240473547442747
TR,0.4032167847014508,0.14640396067739145
MP,0.43230888747982854,0.08340739574555726
JK,0.45212530548390223,0.12826529164027134
MZ,0.4887678339345574,0.1614446147760767
PY,0.49383109780576673,0.1259951296242727
KL,0.5173220212942795,0.19929955225789714
UT,0.5496805465164936,0.16993057042855847
AN,0.5988202949989817,0.24730893433799786
LA,0.6910047431723474,0.2655046319757628
CH,0.695039082855654,0.23151357240987255
HP,0.7212055411224132,0.2205073214732624
GA,0.7629624043138882,0.22619048435255684
LD,0.8015448327206738,0.2772478401811611
DN,1.0194631284116698,0.1540507295265744
DL,4.563646094476212,2.2542815695332528
